pais;provincia;departamento;año;modelo;actividad;margen_bruto_($/ha);resultado_neto_($/ha);ingreso_neto_($/ha);gastos_directos_($/ha);costos_indirectos_($/ha);eficiencia_stock_(%);producción_(kg/ha);destete_(%);carga_(kg/ha);;;
Argentina;Buenos Aires;Bolivar;2018;buenos aires centro-sudoeste;ciclo completo;1766;-31;3497;1730;1797;35;117;69;336;;;
Argentina;Buenos Aires;Daireaux;2018;buenos aires centro-sudoeste;ciclo completo;1766;-31;3497;1730;1797;35;117;69;336;;;
Argentina;Buenos Aires;Coronel Suarez;2018;buenos aires centro-sudoeste;ciclo completo;1766;-31;3497;1730;1797;35;117;69;336;;;
Argentina;Cordoba;General San Martin;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Juarez Celman;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Marcos Juarez;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Presidente Roque Saenz Peña;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Rio Primero;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Rio Segundo;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;San Justo;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Tercero Arriba;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Cordoba;Union;2018;centro cordoba sur;ciclo completo;2045;136;4589;2544;1909;36;157;65;436;;;
Argentina;Chaco;9 De Julio;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;Chacabuco;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;General Belgrano;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;Presidencia De La Plaza;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;San Fernando;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;Sargento Cabral;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;Tapenaga;2018;chaco humedo;ciclo completo;541;5;1223;682;536;24;46;60;195;;;
Argentina;Chaco;1 De Mayo;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
Argentina;Chaco;12 De Octubre;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
Argentina;Chaco;2 De Abril;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
Argentina;Chaco;25 De Mayo;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
Argentina;Chaco;Bermejo;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
Argentina;Chaco;Comandante Fernandez;2018;chaco-formosa este;cria;608;127;823;215;482;23;28;60;122;;;
